number,id,domain,title,owner,guidance,verification_method,pass_criteria,claim_basis,contract_or_console_check,source_urls,version,verified_at
21,hooks,Agent governance,Distribute security hooks,Platform engineering,Use managed hooks to observe or block sensitive agent actions.,Trigger before-prompt and before-command hooks with allowed and denied examples.,"Required hooks run, fail closed where intended, and generate reviewable evidence.",official-public,"Verify server-side distribution, tamper resistance, timeout behavior, and plan availability.",https://cursor.com/blog/enterprise | https://cursor.com/pricing,1.0.0,2026-07-30
22,prompt-injection,Agent governance,Test prompt-injection resistance,Product security,"Exercise untrusted repository, web, issue, and MCP content against the approved configuration.",Run a documented adversarial test with canary secrets and denied tools.,The agent does not exfiltrate canaries or cross the configured approval boundary.,kyenai-recommendation,No public vendor page proves safety for the buyer's exact tools and data; validate locally.,https://cursor.com/security,1.0.0,2026-07-30
23,audit-log,Logging,Enable and export audit logs,Security operations,"Capture access, administrative, rule, and configuration events.",Change a test setting and confirm the event appears in dashboard and CSV export.,"Event identity, timestamp, action, target, and outcome are available for the required period.",official-public,"Verify event catalog, retention, API or export, latency, and plan limits.",https://cursor.com/blog/enterprise | https://cursor.com/pricing,1.0.0,2026-07-30
24,analytics-export,Logging,Govern analytics and API exports,Data governance,"Review adoption, usage, and AI-code metrics without over-collecting employee data.","Inventory dashboard fields, API outputs, recipients, and retention.","Metrics have a declared purpose, access control, retention period, and employee notice where required.",official-public,Verify exact fields and legal basis before enabling broad reporting.,https://cursor.com/enterprise | https://cursor.com/blog/enterprise,1.0.0,2026-07-30
25,siem-monitoring,Logging,Integrate security monitoring,Security operations,Route available audit evidence into the organization's monitoring and incident workflow.,Generate a high-risk test event and trace it from Cursor to the response queue.,"The event is ingested, enriched, assigned, and retained under policy.",kyenai-recommendation,Verify supported export or API paths and compensate for unavailable events.,https://cursor.com/blog/enterprise,1.0.0,2026-07-30
26,trust-evidence,Assurance,Obtain SOC 2 and penetration-test evidence,Vendor risk,Request current SOC 2 Type II and penetration-test materials from the trust portal.,"Record report period, exceptions, complementary controls, and remediation commitments.",Evidence is current and gaps are accepted by accountable owners.,official-public,Required: verify report coverage and bridge letters; certification is not a universal guarantee.,https://cursor.com/security | https://cursor.com/enterprise,1.0.0,2026-07-30
27,incident-notice,Assurance,Confirm incident notification,Legal and security,"Set contractual notification, cooperation, evidence-preservation, and post-incident obligations.",Map the signed agreement to the incident response plan and contacts.,Timeframes and responsibilities meet organizational requirements.,kyenai-recommendation,Public pages do not define every customer's binding incident terms; verify the MSA or DPA.,https://cursor.com/security,1.0.0,2026-07-30
28,deletion,Lifecycle,Test deletion and offboarding,Privacy and identity,"Validate account, workspace, index, token, automation, and retained-data cleanup.",Offboard a test user and submit a deletion request; record each completion.,Access is revoked promptly and deletion follows the documented schedule.,kyenai-recommendation,"Verify backups, legal holds, logs, shared artifacts, and contract termination handling.",https://cursor.com/security | https://docs.cursor.com/account/privacy,1.0.0,2026-07-30
29,change-management,Lifecycle,Monitor material product and policy changes,Vendor owner,"Track changes to models, subprocessors, retention, security features, and acquisition status.",Review vendor notices monthly and compare them with the approved baseline.,Material changes create a documented reassessment before policy expansion.,kyenai-recommendation,Verify notification channels and contractual change rights.,https://cursor.com/security | https://cursor.com/data-use,1.0.0,2026-07-30
30,exit-portability,Lifecycle,Maintain an exit and portability plan,Engineering leadership,"Keep repository instructions, workflows, evidence, and critical automations portable to another agent.",Run an annual migration exercise on a representative repository.,The team can revoke Cursor access and continue critical work within the recovery objective.,kyenai-recommendation,"Verify export availability, data return, deletion, license termination, and dependency inventory.",https://cursor.com/enterprise,1.0.0,2026-07-30
